Code;Description
AAB00001;Abattoir Inspector
AAC02588;Abattoir Worker
AAD03000;Abrasive Wheels Worker
AAB00010;Account Executive
AAB00011;Accountant (employed)
IQ0101;Accountant (self-employed)
AAD03001;Accounts Administrator/Assistant
AAB00013;Acidifier Operator
AAD03002;Acrobat
AAB00020;Actor/Actress (no stunt work)
AAB00021;Actuary
AAB00022;Acupuncturist
AAC02590;Administration Manager
OC3343;Administrative and executive secretary
AAD03003;Administrator - office
OC2431;Advertising and marketing professional
AAC02591;Advertising executive
AAB00023;Advertising Manager
AAB00024;Aerial Erector (40\' up)
AAB00025;Aerial Erector (up to 40\')
AAB00026;Aerial Photography
AAC02592;Aerobics Instructor
OC1343;Aged care services manager
AAB00027;Agent
OC1311;Agricultural and forestry production manager
OC7233;Agricultural and industrial machinery mechanic and repairer
AAB00028;Agricultural Engineer
OC3142;Agricultural technician
AAB00030;Agricultural Worker
AAB00031;Agronomist
AAD03004;Air Compressor Operator
OC7127;Air conditioning and refrigeration mechanic
AAB00036;Air Frame Service Fitter
AAB00037;Air Pump Attendant -Coastal etc
AAB00038;Air Pump Attendant -Deep Sea
AAB00039;Air Traffic Control Assistant
AAB00041;Air Traffic Controller
AAC02593;Air Traffic Planner 
OC3155;Air traffic safety electronics technician
AAB00042;Aircraft Electronics Service Fitter
OC7232;Aircraft engine mechanic and repairer
AAB00043;Aircraft Engine Service Fitter
AAB00044;Aircraft Finisher
AAB00045;Aircraft Inspector
AAB00046;Aircraft Instrument Mechanic
AAB00047;Aircraft Joiner
AAB00048;Aircraft Maintenance Technician
AAB00049;Aircraft Marshaller
OC3153;Aircraft pilot and related associate professional
AAB00050;Aircraft Refueller
AAB00051;Aircrew (including Flight Engineer)
AAB00052;Airline Cabin Staff
AAB00053;Airline Pilots
AAB00054;Airport Manager
AAB00055;Airport Superintendent
AAD03392;Alternative Therapist/Complimentary Therapist
AAC02594;Ambassador
AAB00057;Ambulance Driver
AAB00058;Ambulanceman (No driving)
AAB00119;Amusement Arcade Worker
AAD03005;Amusement Park Worker
AAB00060;Anaesthetist
AAD03006;Analyst - Business
AAD03007;Analyst - City
AAD03008;Analyst - Investment
AAD03009;Analyst - Systems
AAD03010;Analyst- Other
AAC02596;Analytical Chemist
AAB00062;Ancient Monuments Inspector
AAB00063;Animal Nursing Auxiliary
OC6129;Animal producer
AAB00064;Animal Trainer/Keeper
AAB00065;Animator
AAB00066;Annealer
AAB00067;Announcer - Radio & TV - Entertainment
AAB00068;Announcer - Station Personnel - Railways
AAB00069;Anodiser
AAB00070;Antique Dealer
AAB00071;Antique Restorer
OC6123;Apiarist and sericulturist
OC2514;Applications programmer
OC1312;Aquaculture and fisheries production manager
OC6221;Aquaculture worker
AAB00073;Arc Welder
AAB00074;Archaeologist
AAC02597;Archaeologist (other countries) 
AAB00075;Architect
AAC02598;Architect (office)
AAB00076;Archivist
AAD03011;Armed Forces - Army - aircrew
AAD03012;Armed Forces - Army - bomb disposal
AAD03013;Armed Forces - Army - no bomb disposal
AAD03014;Armed Forces - Army - SAS
AAD03015;Armed Forces - Full time reservist - no special duties
AAD03016;Armed Forces - Full time reservist - special duties
AAD03017;Armed Forces - Navy - aircrew
AAD3390;Armed Forces - Navy - divin
AAD03018;Armed Forces - Navy - no diving
AAD03019;Armed Forces - Navy - SBS
AAD03389;Armed Forces - RAF - aircrew
AAD03020;Armed Forces - RAF - no flying
OC0310;Armed forces occupations, other rank
IQ0102;Arms dealer/manufacturer
AAB00079;Aromatherapist
AAB00080;Arranger
AAB00081;Art Director
AAB00082;Art Gallery Attendant
AAB00083;Art Gallery Curator
AAB00084;Art Gallery Guide
AAC02599;Art Gallery Manager - Commercial
AAB00085;Artexer
